Listagem de Tags;Criação;Mídia;CRM & Tech
automação - disparos;-;-;00:40
automação - processos;-;-;01:30
base de disparo - criação;-;-;00:40
base de disparo - gestão;-;-;00:20
campanha patrocinada - gestão;-;02:00;-
cria - apresentação digital;04:00;-;-
cria - artigo digital;01:00;-;-
cria - conteúdo/sms/texto;00:30;-;-
cria - ebook;02:00;-;-
cria - email/news;00:30;-;-
cria - kv/miv/selo;06:00;-;-
cria - peça digital;00:30;-;-
cria - peça off/produção;01:30;-;-
cria - site/lp;-;-;02:00
cria - planejamento criativo;04:00;-;-
crm - disparos;-;-;00:25
crm - forms;-;-;00:20
crm - html;-;-;00:30
dashboard - criação;-;-;03:00
dashboard - gestão;-;-;00:30
design system - criação;04:00;-;-
design system - gestão;01:00;-;-
midi - doc orientador;-;01:00;-
midi - plano de mídia;-;02:00;-
mídia orgânica - gestão;-;00:40;-
orçamentos e propostas comerciais;-;-;-
plan - macro;-;03:00;-
plan - régua de comunicação;-;-;02:00
relatórios;-;01:00;01:00
setup e config;-;02:00;01:30
vídeo - gerado por ia;02:00;-;-
vídeo - padrão;01:30;-;-
